Summary,Description,Custom field (Epic Link),Component/s,Component/s
Ruteberegning:  Returnerte segmenter henger ikke sammen," 

Avhenger av at sak NVDB-5259 er behandlet.    De rutene som beregnes over avstander feiler fort uten NVB-5259!

 

Ruteberegning får noen strekker med feil geometri som vist på feil_geometri.png (ut av og sør for Lillehammer).  Geometrien er klippet feil vei og går fra hverandre og ikke mot.   Her skulle jo den blå streken gått fra start til slutt, og ikke slik den er på bildet hvor det går fra hverandre..

Parametre som ble brukt var disse:
 start=256051.91275786122,6783157.609644701
 &slutt=255761.9136374836,6779041.962313057
 &maks_avstand=100
 &omkrets=100

Lenke: 
 [https://nvdbapiles-v3.utv.atlas.vegvesen.no/beta/vegnett/rute?start=256051.91275786122,6783157.609644701&slutt=255761.9136374836,6779041.962313057&maks_avstand=100&omkrets=1000&konnekteringslenker=true&detaljerte_lenker=true&pretty=true&kortform=true]

 

 

Jeg fikk også feil på denne feil_geometri.png (Vestby):     
  [https://nvdbapiles-v3.utv.atlas.vegvesen.no/beta/vegnett/rute?start=259500.4664128776,6614944.128838652&slutt=259544.12486595605,6614376.287577341&maks_avstand=100&omkrets=100&konnekteringslenker=true&detaljerte_lenker=true&pretty=true&kortform=true]

 
h2.  TODO
 * Koblingen mellom lenker er noder. I dag er denne koblingen kun på nodeid.
 Endre koblingen i klassen Vertex til  å gjelde:
 ** part
 ** segment 
 ** nodeid

 Og derav fikse feilaktige segmenter returnert.",NVDB-6937,Les-API,
Sårbarheter i JavaScript-avhengigheter,"NPM rapporterer om 38316(!) sårbarheter. Heldigvis er nok noen av dem telt flere ganger.

Kun i byggesystem og test, men greit å ordne sånn at det ikke maskerer sårbarheter i biblioteker som brukes av kode.",NVDB-6937,Datafangst,
NVDBREF-618 filtrering av trafikkulykke på ulykkesdato og område gir snåle resultatsett.,"{quote}Heisann, filtrering av trafikkulykke på ulykkesdato og område (kommune=3052 Nore og Uvda) gir snåle resultatsett. [https://nvdbapiles-v3.atlas.vegvesen.no/vegobjekter/570?segmentering=true&kartutsnitt=64013.815,6561187.485,302687.692,6808292.777&egenskap=(area(946,3052))+AND+(5055]>='2011-01-01')
 Filtering kun på område kommune=3052 Nore og Uvdal gir ønsket resultat. Her er lenke til vegkart-søk som demonstrerer problemet tydelig: vegvesen.no/nvdb/vegkart/v3/#kartlag:geodata/@158050,6713655,5/hva:~(~(filter~(~(operator~'3e3d~type_id~5055~verdi~(~'2011-01-01)))~id~570))/hvor:~(kommune~(~3052))
{quote}
Spørring etter ulykker i Vegkart v2 gir heller ikke ut  korrekt svar ved spørring innenfor en kommune.

 

Har dette sammenheng med at mange av ulykkene er stedfestet på fiktiv veg?

 

Det er heller ikke samsvar mellom antallet i søkeresultatet og hva som kommer ut på CSV-eksport. Oppdal kommune og trafikkulykke gir et søkeresultat på 605, mens csv-eksporten gir 632 ulykker.",NVDB-6937,Les-API,
Mulighet til å velge flere kjørefelt,"Skriv vil ha inn en liste med kjørefelt.

Skriv om kjørefelt-editoren til en modal med checkboxer

kjørefeltvisningen må kunne vise flere kjørefelt på en god måte

 ",NVDB-6937,Datafangst,
API: Helsesjekk utvides med mer info om NVDB-status,"Helsesjekk tar med metadata om egen og Les-API's status.
Ref. for eksempel [https://nvdbrapportapi.utv.atlas.vegvesen.no/health]).

Denne utvides med oppdateringstidspunkt for NVDB. Dette er interessant når man gjør endringer i NVDB og ønsker å ta ut rapport når det er tilgjengelig fra Les API.

Ref. [https://nvdbapiles-v3.atlas.vegvesen.no/status]

Info fra Helsesjekk er kanskje også aktuelt å vise i GUI med en egen link/knapp, eller fortløpende polling? Nyttig for Vegliste-gruppa å få denne informasjonen i rapport-verktøyet (front-end).",NVDB-6825,Rapportgenerator,
entertast fører til error hvis ingen elementer har fokus,"h2. Observasjon

fra sentry: [https://sentry.kantega.org/kantega/datafangst/issues/10]

trykk på enter hvis ingen elementer har fokus fører til feilmeldinger i konsoll
h2. Analyse

Noen ganger har vi ikke fokus, f.eks hvis bruker har søkt etter noe som ikke finnes.

gjenskapes ved å søke etter noe som ikke gir resultat, og deretter trykker enter.

metoden som håndterer entertrykk må returnere hvis den ikke klarer å finne fokus-cellen.

 

 ",NVDB-6937,Datafangst,
"Datafanen: ""undefined error"" i focusedattribute selector","h2. Observasjon

fra Sentry: [https://sentry.kantega.org/kantega/datafangst/issues/17]

FocusedAttribute selectoren kræsjer hvis vi ingen vegobjekter har fokus.
h2. Analyse

Legg inn sjekk for undefined focused feature og returner null.",NVDB-6937,Datafangst,
Validering av grenseverdier fra Skriv XML-schema ved import av data,"h2. Analyse
Skriv har to typer validering. Den ene er den som kommer i en vanlig respons med feil / advarsel / notabene per vegobjekt og HTTP-respons 200. Den andre er validering av XML-schema, som gir HTTP-respons 400 tilbake. 

På validering av XML-schema så får vi feilmeldinger som er vanskelige å bruke direkte (se NVDB-5321 for et eksempel), så de ender opp med en generisk feil i stedet. (I skrivende stund også en systemfeil, helt til NVDB-5321 er håndtert.)

Å mappe de feilene vi får fra XML-schema tilbake til noe som kan forstås av bruker er ikke nødvendigvis enkelt. [Tore sier|https://mattermost.kantega.no/svv/pl/58kthfxf8fyumcagwqa9p7edea] ""når jeg snakker med klientutviklere til API Skriv, fraråder jeg å behandle payloaden fra 400-responser på annen måte enn å logge den og gi en generell systemfeil-melding til brukeren. 400-responsen har en temmelig åpen kontrakt, som i praksis sier at den består av en liste med strenger, uten noen garantert formattering eller syntaks. Meldingene kan endre ordlyd over natta.""


h2. Forslag til løsning

Tores [forslag til løsning|https://mattermost.kantega.no/svv/pl/dy1sh9i3rtncbe6pkhnxysib1a] er at Datafangst går over alle [constraint-annotasjonene|https://javaee.github.io/javaee-spec/javadocs/javax/validation/constraints/package-summary.html] (@Min / @Max o.l) i de [relevante dataklassene|https://github.com/nvdb-vegdata/nvdb-skrive-api/tree/master/plugins/representation/src/main/java/no/vegvesen/vt/nvdb/apiskriv/representation/model/domain/changeset/v3] i Skriv, og lager valideringsregler i Datafangst basert på dem.

Vi bør i hovedsak avvise data som bryter med disse valideringsreglene, da f.eks. en målemetode for høyde oppgitt uten for lovlig intervall ikke enkelt kan rettes av bruker. Vi kan se etter hvert om det er enkelte feil som kan tillate import, men gi feil på objektet i stedet. Merk at data som har schema-feil ikke kan sendes inn til Skriv for validering før alle verdier er innenfor lovlig verdi for schema.

Vi bør samle opp alle feil for hvert datasett og presentere dem samlet til bruker, med referanse til fil / linje eller objekt-ID for hver feil.

Se NVDB-5357 for relatert problemstilling, implementasjonen her bør kunne gjenbrukes til sjekk også i andre sammenhenger.",NVDB-6937,Datafangst,
Cluster forsvinner på lavt nivå,"h2. Observasjon

Last inn vedlagte SOSI og vis eksisterende objekter i datafanen. Velg Norkart. Da sees cluster, f.ex 11 i et cluster. Zoom inn et hakk (evt flere), men fra et nivå til neste så mister man cluster, og bare et enkeltstående NVDB-objekt står igjen i stedet for cluster. Se vedlagt bilder for zoom på nivå n og n+1.",NVDB-6937,Datafangst,
Ruteberegning:  Gir punkt sammen med linjegeometri,"Ruteberegning via geometri beregner rute fra punkt til punkt. Dersom noen punkter er veldig nærme, så nærme at strekningslengden blir 0, så blir det altså et punkt.   Neste strekning starter da i samme punktet, men har en utstrekning og blir til en linje.    Når ruteberegningen kjører , så slår den sammen segmenter som overlapper, men det ser ut til at noen punkter ikke blir slått sammen med neste strekning.    

 

Man kan fint gjenskape dette ved å kjøre en geometri som har samme punktet flere ganger i geometrien.

 

 

 

Denne geomtrien gir ut et punkt sammen med mange linjer.   Akkurat denne geometrien lar seg ikke teste mot en server som indekserer Trionadatabasen NVDB01. Den mangler vegsystemer og får ikke dette punktet med i resultatet:

 
 <type>Punkt</type>
 <veglenkesekvensid>42330</veglenkesekvensid>
 <relativPosisjon>0.0</relativPosisjon>
 <kortform>0.0@42330</kortform>
  

 

[https://nvdbapiles-v3.utv.atlas.vegvesen.no/beta/vegnett/rute?geometri=LINESTRING%20Z(270203.15%207041918.45%209.11,%20270203.12%207041921.1%209.03,%20270202.94%207041928.89%208.85,%20270202.66%207041928.89%208.86,%20270202.44%207041933.08%208.92,%20270202.25%207041935.64%208.93,%20270200.05%207041935.65%208.87,%20270200.05%207041935.8%208.86,%20270199.01%207041935.78%208.86,%20270198.99%207041934.8%208.77,%20270199.16%207041934.81%208.78,%20270199.19%207041934.7%208.75,%20270199.11%207041932.03%209.49,%20270198.99%207041930.45%208.9,%20270198.74%207041927.6%208.9,%20270198.06%207041923.11%208.95,%20270197.77%207041919.43%208.96,%20270197.78%207041918.45%208.99,%20270198%207041907.98%209.07,%20270198.19%207041899.17%209.09,%20270198.36%207041891.49%209.18,%20270198.9%207041866.11%209.51,%20270198.94%207041864.52%209.53,%20270199.12%207041857.34%209.64,%20270199.18%207041854.59%209.68,%20270199.27%207041851%2010.48,%20270199.31%207041850.23%2010.49,%20270199.41%207041849.44%2010.51,%20270199.55%207041848.68%2010.49,%20270199.98%207041847.36%2010.51,%20270200.4%207041846.4%2010.54,%20270200.64%207041845.98%2010.54,%20270201.12%207041845.19%2010.54,%20270201.97%207041844.02%2010.55,%20270202.49%207041843.43%2010.57,%20270203.15%207041842.75%2010.57,%20270204.44%207041841.7%2010.57,%20270205.79%207041840.88%2010.58,%20270206.53%207041840.52%2010.57,%20270208.16%207041839.97%2010.53,%20270209.05%207041839.76%2010.53,%20270213.19%207041839.19%2010.54,%20270213.46%207041839.15%209.77,%20270218.3%207041843.78%209.74,%20270215.37%207041844.25%209.74,%20270215.4%207041844.64%209.77,%20270214.77%207041844.75%209.76,%20270215.12%207041848.74%209.82,%20270214.22%207041851.31%209.85,%20270213.63%207041851.39%2010.6,%20270205.68%207041852.3%2010.53,%20270205.4%207041852.44%2010.57,%20270205.14%207041852.67%2010.55,%20270204.91%207041852.92%2010.58,%20270204.69%207041853.33%2010.57,%20270204.64%207041853.47%2010.42,%20270204.22%207041854.08%209.84,%20270204.21%207041855.44%2010.5,%20270204.16%207041857.09%209.8,%20270203.69%207041857.07%209.65,%20270203.68%207041858.67%209.64,%20270204.31%207041858.68%209.65,%20270204.32%207041858.79%209.76,%20270204.38%207041858.78%209.78,%20270204.38%207041859.94%209.88,%20270204.44%207041859.93%209.88,%20270204.43%207041860.7%209.88,%20270204.37%207041860.7%209.88,%20270204.25%207041866.91%209.88,%20270204.16%207041870.76%209.64,%20270203.94%207041881.99%209.57,%20270203.56%207041881.99%209.36,%20270203.51%207041883.67%209.36,%20270203.9%207041883.67%209.36,%20270203.72%207041891.79%209.38,%20270203.45%207041903.53%209.25,%20270203.41%207041905.85%209.19,%20270203.17%207041917.19%209.17,%20270203.15%207041918.45%209.16)&maks_avstand=100&pretty=true&kortform=true]",NVDB-6937,Les-API,
Statistikk og antall vegobjekter,"*Observasjon #1 med vegref og med egenskapsfilter - {color:#de350b}AVVIK{color}*

[https://nvdbapiles-v3.utv.atlas.vegvesen.no/vegobjekter/445/statistikk?segmentering=true&kartutsnitt=626430.051%2C7662359.568%2C712746.312%2C7763587.608&vegsystemreferanse=EV8&egenskap=%282326%21%3D4200%29]

--> 0 (UTV og ATM)

vs

[https://nvdbapiles-v3.utv.atlas.vegvesen.no/vegobjekter/445?segmentering=true&kartutsnitt=626430.051%2C7662359.568%2C712746.312%2C7763587.608&vegsystemreferanse=EV8&egenskap=%282326%21%3D4200%29|https://nvdbapiles-v3.utv.atlas.vegvesen.no/vegobjekter/445/statistikk?segmentering=true&kartutsnitt=626430.051%2C7662359.568%2C712746.312%2C7763587.608&vegsystemreferanse=EV8&egenskap=%282326%21%3D4200%29]

--> 21 (UTV og ATM)

*Observasjon #1 med vegref og uten egenskapsfilter - {color:#de350b}AVVIK{color}*

[https://nvdbapiles-v3.utv.atlas.vegvesen.no/vegobjekter/445/statistikk?segmentering=true&kartutsnitt=626430.051%2C7662359.568%2C712746.312%2C7763587.608&vegsystemreferanse=EV8]

--> 37 (UTV og ATM)

vs

[https://nvdbapiles-v3.utv.atlas.vegvesen.no/vegobjekter/445?segmentering=true&kartutsnitt=626430.051%2C7662359.568%2C712746.312%2C7763587.608&vegsystemreferanse=EV8|https://nvdbapiles-v3.utv.atlas.vegvesen.no/vegobjekter/445/statistikk?segmentering=true&kartutsnitt=626430.051%2C7662359.568%2C712746.312%2C7763587.608&vegsystemreferanse=EV8]

--> 44 (UTV og ATM)

*Observasjon #1 uten vegref og uten egenskapsfilter - {color:#00875a}OK{color}*

[https://nvdbapiles-v3.test.atlas.vegvesen.no/vegobjekter/445/statistikk?segmentering=true&kartutsnitt=626430.051%2C7662359.568%2C712746.312%2C7763587.608]

--> 1316 (UTV), 1313 (ATM)

[https://nvdbapiles-v3.test.atlas.vegvesen.no/vegobjekter/445?segmentering=true&kartutsnitt=626430.051%2C7662359.568%2C712746.312%2C7763587.608|https://nvdbapiles-v3.test.atlas.vegvesen.no/vegobjekter/445/statistikk?segmentering=true&kartutsnitt=626430.051%2C7662359.568%2C712746.312%2C7763587.608]

--> 1316 (UTV), 1313 (ATM)

*Observasjon #2*

Se lenker i NVDB-5345

 ",NVDB-6937,Les-API,
Sjekk filtrering av segmenter for objekter med sluttdato,"Det ser ut som det kun filtreres på tidspunktparameter, så alle_versjoner=true vil kanskje gi tom segmentliste for objekter med sluttdato. 
Disse skal ha segmentene med samme sluttdato som selve objektet.",NVDB-6937,Les-API,
Kan ikke sende inn vegobjekt med kobling til mor i NVDB,"h2. Observasjon
Får systemfeil ved innsending av endringsett der mor er eksisterende NVDB-objekt (men i kontrakten) med eksisterende døtre, og har i tillegg en datter som er ny i kontrakten.

For å reprodusere, importer f.eks. et skiltpunkt i kontrakt, kopiér geometri til skiltplate, og koble skiltplate til skiltpunkt. Får da systemfeil ved innsending.

h2. Analyse
Skriv har endret på sin XSD (https://www.vegvesen.no/nvdb/apiskriv/rest/v3/endringssett/endringssett.xsd) i forbindelse med muligheten for å ikke sende inn alle sammenkoblinger. Så den XML'en vi sender i dette tilfellet validerer ikke lengre. Sjekk feilen ""Invalid content was found starting with element 'tempId'"" i Kibana, tror alle tilfeller siden midten av februar er dette.

Ser ut som rekkefølgen på elementene har blitt byttet om, i tillegg er det et problem at vi sender XML som er en blanding av DelvisAssosiasjon (som er endret i ny XSD) og Assosiasjon (som antakeligvis er den som vi burde brukt slik det er i dag).

h2. Løsning
Ta i bruk DelvisAssosiasjon slik den nye versjonen av Skriv åpner for. Årsaken til denne endringa i Skriv var å gjøre det mulig å sende inn  kun endrede sammenkoblinger. Dette var ikke mulig før februar, og derfor har Datafangst kode for å hente de andre sammenkoblingene fra eksisterende NVDB-objekter og sende de inn samtidig. Vi går over til å lage DevisAssosiasjon med kun endrede elementer, og sletter koden som henter inn eksisterende koblinger fra Skriv.",NVDB-6937,Datafangst,
"NVDBREF 568: 538 Gate: Fjerne assosiasjon til kommune, innføre egenskap i stedet","h2. Bakgrunn

Gateobjektene i NVDB har bl.a. informasjon om vegnavn. Dette er viktig informasjon for blålysetater, ruteplanleggere generelt og adressekart. Denne objekttypen ble definert i NVDB for mange år siden, og vi ser nå at det er behov for å gjøre noen endringer på denne.

_Fjerne assosiasjon til kommune_

Gateobjektet har i dag en assosiasjon til objekttype 946 Kommune og 536 Kommune 2019. Dette er koblingen til kommunen den aktuelle gata hører hjemme i. Vi skal nå forenkle denne objekttypen ved å fjerne denne assosiasjonen, og heller innføre _kommune _som en _egenskap _til objektet.

_Endre navn på objekttype og egenskaper_

Objekttype 538 Gate er i dag definert med disse egenskapene:
* ET 4588 _Gatekode _(tall)
* ET 4589 _Gatenavn_ (tekst)
* ET 9793 _Sideveg_ med tillatte verdier _Ja_ eller _Nei_

I tillegg har objekttypen en assosiasjon til 946 Kommune og 536 Kommune 2019 som beskrevet over.

Objekttypen 538 Gate vil få nytt navn; Vegadresse, og bli definert slik:
* Ny ET Kommune
* ET 4588 Adressekode (tall)
* ET 4589 Adressenavn (tekst)
* ET 9793 Sideveg med tillatte verdier Ja eller Nei (uendret)

Dette betyr at 538 Vegadresse etter denne endringen kun kjenner til kommunene som var gyldige etter 1.1.2020.

[Samlesak i SVV-Jira|https://www.vegvesen.no/jira/browse/NVDBREF-568] viser oversikt over nødvendige endringer i alle berørte komponenter. 

h2. Analyse

Omleggingen av måten kommunetilhørighet angis på for en gate får følger for et par valideringstrinn i API Skriv. Disse validerer at assosiert kommune er den samme kommunen som indikeres av veglenkene gaten er stedfestet på og at bruk av gatenavn (adressenavn) er uniform gitt gatekode (adressekode) og kommune. En overgangsløsning der API Skriv takler kommunetilhørighet både via assosiasjon og egenskap går an, men det dobler kompleksiteten på saken og estimatet. Gevinsten er API Skriv da kan rulles ut når man ønsker FØR det gjøres endringer i NVDB eller datakatalog. Det krever imidlertid at egenskapsid for den nye kommuneegenskapen er kjent på forhånd.

Berørte klasser i API Skriv og det som må gjøres med dem:
* LocationMatchesAssociatedMunicipalityVallidator - Constraint som validerer at assosiert kommune stemmer med kommunen(e) på veglenkene Gate-objektet er stedfestet på. Omdøpes til LocationMatchesMunicipalityAttributeValidator. Bruk av kommuneassosiasjon erstattes med kommuneegenskap. En del metode med ""Street"" i navnet omdøpes til ""RoadAddress"". Logikk relatert til pre-2020 gater kan fjernes.
* UniformStreetNameForCodeValidator - Constraint som validerer at gatenavnet er ens for alle gater med samme gatekode i samme kommune. Omdøpes til UniformRoadAddressNameForCodeValidator. Bruk av municipalityNvdbId (fra assosiasjon) erstattes med municipalityNo (fra egenskap). En del metode med ""Street"" i navnet omdøpes til ""RoadAddress"". Logikk relatert til pre-2020 gater kan fjernes.
* StreetEnricherFilter - Filteret beriker jobben med eksisterende Gate-objekter som forberedelse til validering i UniformStreetNameForCodeValidator. Omdøpes til RoadAddressEnricherFilter. Metoden getExistingStreets omdøpes til getExistingRoadAddresses og finner Vegadresse-objekter gitt adressekode og kommunenr i stedet for kommuneassosiasjon. Logikk relatert til pre-2020 gater kan fjernes.
* StreetId - Omdøpes til RoadAddress. Property municipalityNvdbId erstattes med municipalityNo fra egenskap. Logikk relatert til pre-2020 gater kan fjernes.
* MunicipalityEnricherFilter - Filter som beriker jobben med Kommune-objekter. Kan fjernes siden kommunenr nå er angitt eksplisitt i Vegadresse-objektene.

Estimat: 1 dv",NVDB-6937,Skriv-API,
